ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12218660,JD428503,11/10/20 14:00,049XX S WABASH AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,224,2,3,38,11,,,2020,11/17/20 15:49,,,
12223204,JD433631,11/9/20 14:00,016XX N WOLCOTT AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,1434,14,2,24,11,,,2020,11/17/20 15:49,,,
12218471,JD428188,11/10/20 21:00,045XX S MICHIGAN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,215,2,3,38,6,,,2020,11/17/20 15:49,,,
12217741,JD427384,11/10/20 14:43,038XX S DR MARTIN LUTHER KING JR DR,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,212,2,4,35,6,,,2020,11/17/20 15:49,,,
12218639,JD428430,11/10/20 14:26,037XX W HARRISON ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1133,11,24,27,7,,,2020,11/17/20 15:49,,,
12217344,JD426852,11/10/20 8:10,105XX S WESTERN AVE,460,BATTERY,SIMPLE,OTHER (SPECIFY),FALSE,FALSE,2211,22,19,72,08B,,,2020,11/17/20 15:49,,,
12218036,JD427534,11/10/20 13:00,070XX S EBERHART AVE,496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,RESIDENCE,FALSE,FALSE,322,3,6,69,04B,,,2020,11/17/20 15:49,,,
12218391,JD427088,11/10/20 11:30,062XX S ABERDEEN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,712,7,16,68,08B,,,2020,11/17/20 15:49,,,
12222597,JD433002,7/17/20 18:00,005XX W OAKDALE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,FALSE,1934,19,44,6,26,,,2020,11/17/20 15:49,,,
12217656,JD426999,11/10/20 9:50,012XX E 46TH ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,222,2,4,39,08A,,,2020,11/17/20 15:49,,,
